Instrument,Duration Minutes,Term
EUR/USD,1.0,Short Term (<1 Day)
EUR/USD,1207.0,Short Term (<1 Day)
EUR/USD,5.0,Short Term (<1 Day)
EUR/USD,3.0,Short Term (<1 Day)
EUR/USD,2.0,Short Term (<1 Day)
EUR/USD,1.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,3.0,Short Term (<1 Day)
EUR/USD,3.0,Short Term (<1 Day)
EUR/USD,5.0,Short Term (<1 Day)
EUR/USD,5.0,Short Term (<1 Day)
EUR/USD,5.0,Short Term (<1 Day)
EUR/USD,5.0,Short Term (<1 Day)
EUR/USD,5.0,Short Term (<1 Day)
EUR/USD,4.0,Short Term (<1 Day)
EUR/USD,4.0,Short Term (<1 Day)
EUR/USD,3.0,Short Term (<1 Day)
EUR/USD,2.0,Short Term (<1 Day)
EUR/USD,2.0,Short Term (<1 Day)
EUR/USD,3.0,Short Term (<1 Day)
EUR/USD,3.0,Short Term (<1 Day)
EUR/USD,3.0,Short Term (<1 Day)
EUR/USD,3.0,Short Term (<1 Day)
EUR/USD,3.0,Short Term (<1 Day)
EUR/USD,2.0,Short Term (<1 Day)
EUR/USD,2.0,Short Term (<1 Day)
EUR/USD,5126.0,Long Term (>1 Day)
EUR/USD,8468.0,Long Term (>1 Day)
EUR/USD,3342.0,Long Term (>1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,19.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
