Transfer CCY,Transfer Date,Order ID,Buy/Sell,Instrument type,Instrument subtype,Instrument,Instrument CCY,Trade Amount,Trade Price,Settled PL,Settled PL Clean,Signed Amount,Cumulative Position,Cumulative PL,Time Diff,Prev Side,Is_Toxic
USD,2025-08-06 15:57:00,705174,Sell,FOREX,Forex Majors,EUR/USD,USD,50000.0,1.16465,—,0.0,-50000.0,-50000.0,0.0,,,False
USD,2025-08-06 15:58:00,705180,Buy,FOREX,Forex Majors,EUR/USD,USD,50000.0,1.16453,6,6.0,50000.0,0.0,6.0,0 days 00:01:00,Sell,True
USD,2025-08-06 15:59:00,705188,Sell,FOREX,Forex Majors,EUR/USD,USD,20000.0,1.16462,—,0.0,-20000.0,-20000.0,6.0,0 days 00:01:00,Buy,True
USD,2025-08-07 12:06:00,707131,Buy,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16434,—,0.0,1000000.0,980000.0,6.0,0 days 20:07:00,Sell,False
USD,2025-08-07 12:11:00,707152,Sell,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16423,-110,-110.0,-1000000.0,-20000.0,-104.0,0 days 00:05:00,Buy,False
USD,2025-08-07 12:14:00,707159,Buy,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16376,—,0.0,1000000.0,980000.0,-104.0,0 days 00:03:00,Sell,False
USD,2025-08-07 12:15:00,707172,Buy,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16426,—,0.0,1000000.0,1980000.0,-104.0,0 days 00:01:00,Buy,False
USD,2025-08-07 12:16:00,707179,Sell,FOREX,Forex Majors,EUR/USD,USD,2000000.0,1.16442,820,820.0,-2000000.0,-20000.0,716.0,0 days 00:01:00,Buy,True
USD,2025-08-07 12:22:00,707186,Buy,FOREX,Forex Majors,EUR/USD,USD,4999999.0,1.16533,—,0.0,4999999.0,4979999.0,716.0,0 days 00:06:00,Sell,False
USD,2025-08-07 12:23:00,707193,Buy,FOREX,Forex Majors,EUR/USD,USD,35000.0,1.16525,—,0.0,35000.0,5014999.0,716.0,0 days 00:01:00,Buy,False
USD,2025-08-07 12:23:00,707200,Buy,FOREX,Forex Majors,EUR/USD,USD,10000.0,1.16539,—,0.0,10000.0,5024999.0,716.0,0 days 00:00:00,Buy,False
USD,2025-08-07 12:25:00,707217,Sell,FOREX,Forex Majors,EUR/USD,USD,10000.0,1.16549,1.6,1.6,-10000.0,5014999.0,717.6,0 days 00:02:00,Buy,False
USD,2025-08-07 12:25:00,707224,Sell,FOREX,Forex Majors,EUR/USD,USD,35000.0,1.16544,3.85,3.85,-35000.0,4979999.0,721.45,0 days 00:00:00,Sell,False
USD,2025-08-07 12:27:00,707265,Sell,FOREX,Forex Majors,EUR/USD,USD,999999.0,1.16481,-517.8,-517.8,-999999.0,3980000.0,203.6500000000001,0 days 00:02:00,Sell,False
USD,2025-08-07 12:27:00,707258,Sell,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16482,-510,-510.0,-1000000.0,2980000.0,-306.3499999999999,0 days 00:00:00,Sell,False
USD,2025-08-07 12:27:00,707244,Sell,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16483,-500,-500.0,-1000000.0,1980000.0,-806.3499999999999,0 days 00:00:00,Sell,False
USD,2025-08-07 12:27:00,707237,Sell,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16483,-500,-500.0,-1000000.0,980000.0,-1306.35,0 days 00:00:00,Sell,False
USD,2025-08-07 12:27:00,707251,Sell,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16481,-520,-520.0,-1000000.0,-20000.0,-1826.35,0 days 00:00:00,Sell,False
USD,2025-08-07 12:30:00,707272,Buy,FOREX,Forex Majors,EUR/USD,USD,5000000.0,1.16548,—,0.0,5000000.0,4980000.0,-1826.35,0 days 00:03:00,Sell,False
USD,2025-08-07 12:31:00,707279,Buy,FOREX,Forex Majors,EUR/USD,USD,25000.0,1.1653,—,0.0,25000.0,5005000.0,-1826.35,0 days 00:01:00,Buy,False
USD,2025-08-07 12:31:00,707286,Buy,FOREX,Forex Majors,EUR/USD,USD,10000.0,1.16539,—,0.0,10000.0,5015000.0,-1826.35,0 days 00:00:00,Buy,False
USD,2025-08-07 12:32:00,707302,Sell,FOREX,Forex Majors,EUR/USD,USD,10000.0,1.16539,-0.9,-0.9,-10000.0,5005000.0,-1827.25,0 days 00:01:00,Buy,True
USD,2025-08-07 12:32:00,707309,Sell,FOREX,Forex Majors,EUR/USD,USD,25000.0,1.16541,-1.75,-1.75,-25000.0,4980000.0,-1829.0,0 days 00:00:00,Sell,False
USD,2025-08-07 12:33:00,707344,Sell,FOREX,Forex Majors,EUR/USD,USD,990000.0,1.1657,222.3,222.3,-990000.0,3990000.0,-1606.6999999999998,0 days 00:01:00,Sell,False
USD,2025-08-07 12:33:00,707316,Sell,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16524,-240,-240.0,-1000000.0,2990000.0,-1846.6999999999998,0 days 00:00:00,Sell,False
USD,2025-08-07 12:33:00,707323,Sell,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.1656,120,120.0,-1000000.0,1990000.0,-1726.6999999999998,0 days 00:00:00,Sell,False
USD,2025-08-07 12:33:00,707330,Sell,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16553,50,50.0,-1000000.0,990000.0,-1676.6999999999998,0 days 00:00:00,Sell,False
USD,2025-08-07 12:33:00,707337,Sell,FOREX,Forex Majors,EUR/USD,USD,1000000.0,1.16563,150,150.0,-1000000.0,-10000.0,-1526.6999999999998,0 days 00:00:00,Sell,False
USD,2025-08-07 12:33:00,707351,Sell,FOREX,Forex Majors,EUR/USD,USD,10000.0,1.16572,3.29,3.29,-10000.0,-20000.0,-1523.4099999999999,0 days 00:00:00,Sell,False
USD,2025-08-07 12:36:00,707364,Sell,CFD,Metals,XAU/USD,USD,50.0,3388.76,—,0.0,-50.0,-50.0,0.0,,,False
USD,2025-08-07 13:08:00,707385,Sell,CFD,Metals,XAU/USD,USD,100.0,3383.64,—,0.0,-100.0,-150.0,0.0,0 days 00:32:00,Sell,False
USD,2025-08-07 13:08:00,707371,Sell,CFD,Metals,XAU/USD,USD,100.0,3383.61,—,0.0,-100.0,-250.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 13:08:00,707392,Sell,CFD,Metals,XAU/USD,USD,100.0,3383.72,—,0.0,-100.0,-350.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 13:08:00,707399,Sell,CFD,Metals,XAU/USD,USD,100.0,3383.7,—,0.0,-100.0,-450.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 13:08:00,707378,Sell,CFD,Metals,XAU/USD,USD,100.0,3383.64,—,0.0,-100.0,-550.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 13:08:00,707434,Sell,CFD,Metals,XAU/USD,USD,100.0,3383.77,—,0.0,-100.0,-650.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 13:08:00,707427,Sell,CFD,Metals,XAU/USD,USD,100.0,3383.77,—,0.0,-100.0,-750.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 13:08:00,707420,Sell,CFD,Metals,XAU/USD,USD,100.0,3384.02,—,0.0,-100.0,-850.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 13:08:00,707413,Sell,CFD,Metals,XAU/USD,USD,100.0,3384.01,—,0.0,-100.0,-950.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 13:08:00,707406,Sell,CFD,Metals,XAU/USD,USD,100.0,3383.91,—,0.0,-100.0,-1050.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 22:05:00,709339,Sell,CFD,Metals,XAU/USD,USD,100.0,3403.46,—,0.0,-100.0,-1150.0,0.0,0 days 08:57:00,Sell,False
USD,2025-08-07 22:05:00,709367,Sell,CFD,Metals,XAU/USD,USD,100.0,3402.88,—,0.0,-100.0,-1250.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 22:05:00,709360,Sell,CFD,Metals,XAU/USD,USD,100.0,3402.54,—,0.0,-100.0,-1350.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 22:05:00,709353,Sell,CFD,Metals,XAU/USD,USD,100.0,3403.06,—,0.0,-100.0,-1450.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 22:05:00,709346,Sell,CFD,Metals,XAU/USD,USD,100.0,3403.46,—,0.0,-100.0,-1550.0,0.0,0 days 00:00:00,Sell,False
USD,2025-08-07 22:12:00,709374,Buy,CFD,Metals,XAU/USD,USD,100.0,3394.53,-834.5,-834.5,100.0,-1450.0,-834.5,0 days 00:07:00,Sell,False
USD,2025-08-07 22:12:00,709381,Buy,CFD,Metals,XAU/USD,USD,100.0,3394.46,"-1,083.50",-1083.5,100.0,-1350.0,-1918.0,0 days 00:00:00,Buy,False
USD,2025-08-07 22:12:00,709388,Buy,CFD,Metals,XAU/USD,USD,100.0,3394.29,"-1,065.00",-1065.0,100.0,-1250.0,-2983.0,0 days 00:00:00,Buy,False
USD,2025-08-07 22:12:00,709409,Buy,CFD,Metals,XAU/USD,USD,100.0,3394.13,"-1,032.50",-1032.5,100.0,-1150.0,-4015.5,0 days 00:00:00,Buy,False
USD,2025-08-07 22:12:00,709416,Buy,CFD,Metals,XAU/USD,USD,100.0,3394.13,"-1,017.00",-1017.0,100.0,-1050.0,-5032.5,0 days 00:00:00,Buy,False
USD,2025-08-07 22:12:00,709423,Buy,CFD,Metals,XAU/USD,USD,100.0,3393.97,-995.5,-995.5,100.0,-950.0,-6028.0,0 days 00:00:00,Buy,False
